factor,variable,FAC_rank_vol_m3_n6_pairwise1,CtrlRetSTR,CtrlRetLTM,CtrlVol,as_偏股混合型基金,Ctrl_log_fund_size,Ctrl_fund_age,FAC_rank_vol_m6_n3_pairwise1,FAC_rank_vol_m6_n6_pairwise1,FAC_rank_vol_m6_n12_pairwise1,FAC_rank_vol_m12_n6_pairwise1
FAC_rank_vol_m3_n6_pairwise1,FAC_rank_vol_m3_n6_pairwise1,1.000,-0.168,-0.313,-0.149,0.005,0.018,0.029,,,,
FAC_rank_vol_m3_n6_pairwise1,CtrlRetSTR,***,1.000,-0.023,-0.005,0.020,-0.034,0.000,,,,
FAC_rank_vol_m3_n6_pairwise1,CtrlRetLTM,***,,1.000,0.063,0.000,0.041,-0.007,,,,
FAC_rank_vol_m3_n6_pairwise1,CtrlVol,***,,*,1.000,-0.003,0.022,-0.065,,,,
FAC_rank_vol_m3_n6_pairwise1,as_偏股混合型基金,,**,,,1.000,0.084,0.406,,,,
FAC_rank_vol_m3_n6_pairwise1,Ctrl_log_fund_size,,**,***,,***,1.000,0.321,,,,
FAC_rank_vol_m3_n6_pairwise1,Ctrl_fund_age,**,,,***,***,***,1.000,,,,
FAC_rank_vol_m6_n3_pairwise1,FAC_rank_vol_m6_n3_pairwise1,,-0.121,-0.239,-0.243,-0.032,0.020,0.026,1.000,,,
FAC_rank_vol_m6_n3_pairwise1,CtrlRetSTR,,1.000,-0.026,-0.004,0.011,-0.037,0.001,***,,,
FAC_rank_vol_m6_n3_pairwise1,CtrlRetLTM,,,1.000,0.077,0.003,0.038,-0.014,***,,,
FAC_rank_vol_m6_n3_pairwise1,CtrlVol,,,**,1.000,-0.002,0.020,-0.065,***,,,
FAC_rank_vol_m6_n3_pairwise1,as_偏股混合型基金,,,,,1.000,0.073,0.399,***,,,
FAC_rank_vol_m6_n3_pairwise1,Ctrl_log_fund_size,,***,***,,***,1.000,0.317,*,,,
FAC_rank_vol_m6_n3_pairwise1,Ctrl_fund_age,,,,***,***,***,1.000,***,,,
FAC_rank_vol_m6_n6_pairwise1,FAC_rank_vol_m6_n6_pairwise1,,-0.127,-0.425,-0.246,-0.020,-0.000,0.015,,1.000,,
FAC_rank_vol_m6_n6_pairwise1,CtrlRetSTR,,1.000,0.039,-0.012,0.014,-0.045,-0.005,,***,,
FAC_rank_vol_m6_n6_pairwise1,CtrlRetLTM,,,1.000,0.020,0.026,0.001,0.021,,***,,
FAC_rank_vol_m6_n6_pairwise1,CtrlVol,,,,1.000,0.007,0.030,-0.045,,***,,
FAC_rank_vol_m6_n6_pairwise1,as_偏股混合型基金,,,*,,1.000,0.080,0.448,,,,
FAC_rank_vol_m6_n6_pairwise1,Ctrl_log_fund_size,,***,,*,***,1.000,0.304,,,,
FAC_rank_vol_m6_n6_pairwise1,Ctrl_fund_age,,,*,***,***,***,1.000,,,,
FAC_rank_vol_m6_n12_pairwise1,FAC_rank_vol_m6_n12_pairwise1,,-0.087,-0.411,-0.222,-0.065,-0.023,-0.010,,,1.000,
FAC_rank_vol_m6_n12_pairwise1,CtrlRetSTR,,1.000,0.018,-0.003,0.018,-0.046,0.007,,,***,
FAC_rank_vol_m6_n12_pairwise1,CtrlRetLTM,,,1.000,-0.033,0.034,-0.058,0.034,,,***,
FAC_rank_vol_m6_n12_pairwise1,CtrlVol,,,,1.000,-0.013,0.033,-0.005,,,***,
FAC_rank_vol_m6_n12_pairwise1,as_偏股混合型基金,,,**,,1.000,0.093,0.578,,,***,
FAC_rank_vol_m6_n12_pairwise1,Ctrl_log_fund_size,,***,***,**,***,1.000,0.199,,,,
FAC_rank_vol_m6_n12_pairwise1,Ctrl_fund_age,,,***,,***,***,1.000,,,,
FAC_rank_vol_m12_n6_pairwise1,FAC_rank_vol_m12_n6_pairwise1,,-0.075,-0.246,-0.323,-0.081,-0.039,0.001,,,,1.000
FAC_rank_vol_m12_n6_pairwise1,CtrlRetSTR,,1.000,0.035,0.009,0.020,-0.048,0.005,,,,***
FAC_rank_vol_m12_n6_pairwise1,CtrlRetLTM,,,1.000,-0.010,0.038,-0.066,0.027,,,,***
FAC_rank_vol_m12_n6_pairwise1,CtrlVol,,,,1.000,-0.016,0.039,-0.001,,,,***
FAC_rank_vol_m12_n6_pairwise1,as_偏股混合型基金,,,**,,1.000,0.089,0.576,,,,***
FAC_rank_vol_m12_n6_pairwise1,Ctrl_log_fund_size,,***,***,**,***,1.000,0.196,,,,***
FAC_rank_vol_m12_n6_pairwise1,Ctrl_fund_age,,,***,,***,***,1.000,,,,
