factor,row_variable,col_variable,mean_corr,p_value,stars,n_months
FAC_rank_vol_m3_n6_pairwise1,FAC_rank_vol_m3_n6_pairwise1,FAC_rank_vol_m3_n6_pairwise1,1.0,,,153
FAC_rank_vol_m3_n6_pairwise1,FAC_rank_vol_m3_n6_pairwise1,CtrlRetSTR,-0.016829915930837044,0.14451125259904685,,153
FAC_rank_vol_m3_n6_pairwise1,FAC_rank_vol_m3_n6_pairwise1,CtrlRetLTM,0.013745123592145287,0.21562338756922372,,153
FAC_rank_vol_m3_n6_pairwise1,FAC_rank_vol_m3_n6_pairwise1,CtrlVol,-0.12205721550153595,4.555311214036586e-19,***,153
FAC_rank_vol_m3_n6_pairwise1,FAC_rank_vol_m3_n6_pairwise1,as_偏股混合型基金,-0.016125139973544658,0.17891097991092908,,153
FAC_rank_vol_m3_n6_pairwise1,FAC_rank_vol_m3_n6_pairwise1,Ctrl_log_fund_size,0.013339177598272866,0.06271149485999591,*,153
FAC_rank_vol_m3_n6_pairwise1,FAC_rank_vol_m3_n6_pairwise1,Ctrl_fund_age,0.014187712605635143,0.056616036478570754,*,153
FAC_rank_vol_m3_n6_pairwise1,FAC_rank_vol_m3_n6_pairwise1,FAC__x__RANK_MEAN,0.1817615083515577,8.916098166768356e-42,***,153
FAC_rank_vol_m3_n6_pairwise1,CtrlRetSTR,FAC_rank_vol_m3_n6_pairwise1,-0.016829915930837044,0.14451125259904685,,153
FAC_rank_vol_m3_n6_pairwise1,CtrlRetSTR,CtrlRetSTR,1.0,,,153
FAC_rank_vol_m3_n6_pairwise1,CtrlRetSTR,CtrlRetLTM,0.04687779109734469,0.037301732120256226,**,153
FAC_rank_vol_m3_n6_pairwise1,CtrlRetSTR,CtrlVol,-0.011629951368041114,0.6553845123331242,,153
FAC_rank_vol_m3_n6_pairwise1,CtrlRetSTR,as_偏股混合型基金,-0.0031371474707509684,0.6830679617619275,,153
FAC_rank_vol_m3_n6_pairwise1,CtrlRetSTR,Ctrl_log_fund_size,0.03847001412557572,2.491170404568547e-06,***,153
FAC_rank_vol_m3_n6_pairwise1,CtrlRetSTR,Ctrl_fund_age,-0.01912003516726006,0.027214271561790536,**,153
FAC_rank_vol_m3_n6_pairwise1,CtrlRetSTR,FAC__x__RANK_MEAN,0.163001901472254,4.938978766126802e-12,***,153
FAC_rank_vol_m3_n6_pairwise1,CtrlRetLTM,FAC_rank_vol_m3_n6_pairwise1,0.013745123592145287,0.21562338756922372,,153
FAC_rank_vol_m3_n6_pairwise1,CtrlRetLTM,CtrlRetSTR,0.04687779109734469,0.037301732120256226,**,153
FAC_rank_vol_m3_n6_pairwise1,CtrlRetLTM,CtrlRetLTM,1.0,,,153
FAC_rank_vol_m3_n6_pairwise1,CtrlRetLTM,CtrlVol,0.06245309913271146,0.020432811602077775,**,153
FAC_rank_vol_m3_n6_pairwise1,CtrlRetLTM,as_偏股混合型基金,-0.024320356738942707,0.000602571159883793,***,153
FAC_rank_vol_m3_n6_pairwise1,CtrlRetLTM,Ctrl_log_fund_size,0.13720039398402548,2.6881186190626567e-44,***,153
FAC_rank_vol_m3_n6_pairwise1,CtrlRetLTM,Ctrl_fund_age,-0.06344209586488557,3.1100749440730555e-11,***,153
FAC_rank_vol_m3_n6_pairwise1,CtrlRetLTM,FAC__x__RANK_MEAN,0.7329039579387406,4.958237787858536e-122,***,153
