factor,row_variable,col_variable,mean_corr,p_value,stars,n_months
FAC_rank_vol_m3_n6_pairwise1,FAC_rank_vol_m3_n6_pairwise1,FAC_rank_vol_m3_n6_pairwise1,1.0,,,153
FAC_rank_vol_m3_n6_pairwise1,FAC_rank_vol_m3_n6_pairwise1,CtrlRetSTR,-0.016914603801269638,0.14421809987208492,,153
FAC_rank_vol_m3_n6_pairwise1,FAC_rank_vol_m3_n6_pairwise1,CtrlRetLTM,0.013911002577237609,0.20965404448854955,,153
FAC_rank_vol_m3_n6_pairwise1,FAC_rank_vol_m3_n6_pairwise1,CtrlVol,-0.11926595647308402,7.680565452935304e-18,***,153
FAC_rank_vol_m3_n6_pairwise1,FAC_rank_vol_m3_n6_pairwise1,as_偏股混合型基金,-0.01628232835271406,0.1748241874707584,,153
FAC_rank_vol_m3_n6_pairwise1,FAC_rank_vol_m3_n6_pairwise1,Ctrl_log_fund_size,0.010031101633034487,0.21911910292173667,,153
FAC_rank_vol_m3_n6_pairwise1,FAC_rank_vol_m3_n6_pairwise1,Ctrl_fund_age,0.013978306933771133,0.060202007029822244,*,153
FAC_rank_vol_m3_n6_pairwise1,CtrlRetSTR,FAC_rank_vol_m3_n6_pairwise1,-0.016914603801269638,0.14421809987208492,,153
FAC_rank_vol_m3_n6_pairwise1,CtrlRetSTR,CtrlRetSTR,1.0,,,153
FAC_rank_vol_m3_n6_pairwise1,CtrlRetSTR,CtrlRetLTM,0.04685410622281937,0.03782259913112678,**,153
FAC_rank_vol_m3_n6_pairwise1,CtrlRetSTR,CtrlVol,-0.011079567472468082,0.6715583347071635,,153
FAC_rank_vol_m3_n6_pairwise1,CtrlRetSTR,as_偏股混合型基金,-0.003203619092371061,0.6764142392720638,,153
FAC_rank_vol_m3_n6_pairwise1,CtrlRetSTR,Ctrl_log_fund_size,-0.03206244620467148,0.008687470474219314,***,153
FAC_rank_vol_m3_n6_pairwise1,CtrlRetSTR,Ctrl_fund_age,-0.018711364154529155,0.030170655985593955,**,153
FAC_rank_vol_m3_n6_pairwise1,CtrlRetLTM,FAC_rank_vol_m3_n6_pairwise1,0.013911002577237609,0.20965404448854955,,153
FAC_rank_vol_m3_n6_pairwise1,CtrlRetLTM,CtrlRetSTR,0.04685410622281937,0.03782259913112678,**,153
FAC_rank_vol_m3_n6_pairwise1,CtrlRetLTM,CtrlRetLTM,1.0,,,153
FAC_rank_vol_m3_n6_pairwise1,CtrlRetLTM,CtrlVol,0.06391169891179091,0.017482164675767065,**,153
FAC_rank_vol_m3_n6_pairwise1,CtrlRetLTM,as_偏股混合型基金,-0.024249300892768638,0.000636065303457068,***,153
FAC_rank_vol_m3_n6_pairwise1,CtrlRetLTM,Ctrl_log_fund_size,0.07739323350811424,2.6590773392617296e-11,***,153
FAC_rank_vol_m3_n6_pairwise1,CtrlRetLTM,Ctrl_fund_age,-0.06268981465051993,5.4676781981363164e-11,***,153
FAC_rank_vol_m3_n6_pairwise1,CtrlVol,FAC_rank_vol_m3_n6_pairwise1,-0.11926595647308402,7.680565452935304e-18,***,153
FAC_rank_vol_m3_n6_pairwise1,CtrlVol,CtrlRetSTR,-0.011079567472468082,0.6715583347071635,,153
FAC_rank_vol_m3_n6_pairwise1,CtrlVol,CtrlRetLTM,0.06391169891179091,0.017482164675767065,**,153
FAC_rank_vol_m3_n6_pairwise1,CtrlVol,CtrlVol,1.0,,,153
FAC_rank_vol_m3_n6_pairwise1,CtrlVol,as_偏股混合型基金,-0.004627693414248004,0.48374360722324683,,153
FAC_rank_vol_m3_n6_pairwise1,CtrlVol,Ctrl_log_fund_size,0.04351071929117582,7.63318000833352e-05,***,153
FAC_rank_vol_m3_n6_pairwise1,CtrlVol,Ctrl_fund_age,-0.09842201004798351,1.0337033869650222e-21,***,153
FAC_rank_vol_m3_n6_pairwise1,as_偏股混合型基金,FAC_rank_vol_m3_n6_pairwise1,-0.01628232835271406,0.1748241874707584,,153
FAC_rank_vol_m3_n6_pairwise1,as_偏股混合型基金,CtrlRetSTR,-0.003203619092371061,0.6764142392720638,,153
FAC_rank_vol_m3_n6_pairwise1,as_偏股混合型基金,CtrlRetLTM,-0.024249300892768638,0.000636065303457068,***,153
FAC_rank_vol_m3_n6_pairwise1,as_偏股混合型基金,CtrlVol,-0.004627693414248004,0.48374360722324683,,153
FAC_rank_vol_m3_n6_pairwise1,as_偏股混合型基金,as_偏股混合型基金,1.0,,,153
FAC_rank_vol_m3_n6_pairwise1,as_偏股混合型基金,Ctrl_log_fund_size,0.052776940402365025,6.345883598745113e-10,***,153
FAC_rank_vol_m3_n6_pairwise1,as_偏股混合型基金,Ctrl_fund_age,0.26370964634985133,2.768205216088922e-25,***,153
FAC_rank_vol_m3_n6_pairwise1,Ctrl_log_fund_size,FAC_rank_vol_m3_n6_pairwise1,0.010031101633034487,0.21911910292173667,,153
FAC_rank_vol_m3_n6_pairwise1,Ctrl_log_fund_size,CtrlRetSTR,-0.03206244620467148,0.008687470474219314,***,153
FAC_rank_vol_m3_n6_pairwise1,Ctrl_log_fund_size,CtrlRetLTM,0.07739323350811424,2.6590773392617296e-11,***,153
FAC_rank_vol_m3_n6_pairwise1,Ctrl_log_fund_size,CtrlVol,0.04351071929117582,7.63318000833352e-05,***,153
FAC_rank_vol_m3_n6_pairwise1,Ctrl_log_fund_size,as_偏股混合型基金,0.052776940402365025,6.345883598745113e-10,***,153
FAC_rank_vol_m3_n6_pairwise1,Ctrl_log_fund_size,Ctrl_log_fund_size,1.0,,,153
FAC_rank_vol_m3_n6_pairwise1,Ctrl_log_fund_size,Ctrl_fund_age,0.33316792794269384,2.2602072250112026e-51,***,153
FAC_rank_vol_m3_n6_pairwise1,Ctrl_fund_age,FAC_rank_vol_m3_n6_pairwise1,0.013978306933771133,0.060202007029822244,*,153
FAC_rank_vol_m3_n6_pairwise1,Ctrl_fund_age,CtrlRetSTR,-0.018711364154529155,0.030170655985593955,**,153
FAC_rank_vol_m3_n6_pairwise1,Ctrl_fund_age,CtrlRetLTM,-0.06268981465051993,5.4676781981363164e-11,***,153
FAC_rank_vol_m3_n6_pairwise1,Ctrl_fund_age,CtrlVol,-0.09842201004798351,1.0337033869650222e-21,***,153
FAC_rank_vol_m3_n6_pairwise1,Ctrl_fund_age,as_偏股混合型基金,0.26370964634985133,2.768205216088922e-25,***,153
FAC_rank_vol_m3_n6_pairwise1,Ctrl_fund_age,Ctrl_log_fund_size,0.33316792794269384,2.2602072250112026e-51,***,153
FAC_rank_vol_m3_n6_pairwise1,Ctrl_fund_age,Ctrl_fund_age,1.0,,,153
FAC_rank_vol_m6_n3_pairwise1,FAC_rank_vol_m6_n3_pairwise1,FAC_rank_vol_m6_n3_pairwise1,1.0,,,153
FAC_rank_vol_m6_n3_pairwise1,FAC_rank_vol_m6_n3_pairwise1,CtrlRetSTR,-0.014462203798158746,0.21011219508687215,,153
FAC_rank_vol_m6_n3_pairwise1,FAC_rank_vol_m6_n3_pairwise1,CtrlRetLTM,-0.021874072631006776,0.052550148528073576,*,153
FAC_rank_vol_m6_n3_pairwise1,FAC_rank_vol_m6_n3_pairwise1,CtrlVol,-0.2257070489408844,2.498414986286153e-34,***,153
FAC_rank_vol_m6_n3_pairwise1,FAC_rank_vol_m6_n3_pairwise1,as_偏股混合型基金,-0.03426775301094569,3.103194322603246e-05,***,153
FAC_rank_vol_m6_n3_pairwise1,FAC_rank_vol_m6_n3_pairwise1,Ctrl_log_fund_size,7.149326145370309e-05,0.992453635355922,,153
FAC_rank_vol_m6_n3_pairwise1,FAC_rank_vol_m6_n3_pairwise1,Ctrl_fund_age,0.016370451818244022,0.04800398835218439,**,153
FAC_rank_vol_m6_n3_pairwise1,CtrlRetSTR,FAC_rank_vol_m6_n3_pairwise1,-0.014462203798158746,0.21011219508687215,,153
FAC_rank_vol_m6_n3_pairwise1,CtrlRetSTR,CtrlRetSTR,1.0,,,153
FAC_rank_vol_m6_n3_pairwise1,CtrlRetSTR,CtrlRetLTM,0.04685410622281937,0.03782259913112678,**,153
FAC_rank_vol_m6_n3_pairwise1,CtrlRetSTR,CtrlVol,-0.011079567472468082,0.6715583347071635,,153
FAC_rank_vol_m6_n3_pairwise1,CtrlRetSTR,as_偏股混合型基金,-0.003203619092371061,0.6764142392720638,,153
FAC_rank_vol_m6_n3_pairwise1,CtrlRetSTR,Ctrl_log_fund_size,-0.03206244620467148,0.008687470474219314,***,153
FAC_rank_vol_m6_n3_pairwise1,CtrlRetSTR,Ctrl_fund_age,-0.018711364154529155,0.030170655985593955,**,153
FAC_rank_vol_m6_n3_pairwise1,CtrlRetLTM,FAC_rank_vol_m6_n3_pairwise1,-0.021874072631006776,0.052550148528073576,*,153
FAC_rank_vol_m6_n3_pairwise1,CtrlRetLTM,CtrlRetSTR,0.04685410622281937,0.03782259913112678,**,153
FAC_rank_vol_m6_n3_pairwise1,CtrlRetLTM,CtrlRetLTM,1.0,,,153
FAC_rank_vol_m6_n3_pairwise1,CtrlRetLTM,CtrlVol,0.06391169891179091,0.017482164675767065,**,153
FAC_rank_vol_m6_n3_pairwise1,CtrlRetLTM,as_偏股混合型基金,-0.024249300892768638,0.000636065303457068,***,153
FAC_rank_vol_m6_n3_pairwise1,CtrlRetLTM,Ctrl_log_fund_size,0.07739323350811424,2.6590773392617296e-11,***,153
FAC_rank_vol_m6_n3_pairwise1,CtrlRetLTM,Ctrl_fund_age,-0.06268981465051993,5.4676781981363164e-11,***,153
